Дата заключения,Дата расчетов,Время заключения,Наименование,Код,Валюта,Вид,Количество,Цена,Сумма,НКД,Комиссия Брокера,Комиссия Биржи,Номер сделки,Комментарий,Статус
17.07.2024,18.07.2024,11:21:48,SBMMETF,SBMM,RUB,Покупка,80,13.349,1067.92,0.00,0.00,0.32,10947559735,,И
17.07.2024,18.07.2024,15:09:04,SBMMETF,SBMM,RUB,Покупка,120,13.349,1601.88,0.00,0.00,0.48,10950238187,,И
17.07.2024,18.07.2024,18:37:29,ПЮДМБО-П3,RU000A103WC8,RUB,Покупка,10,98.23,9823.00,42.70,5.89,0.78,10951681194,,И
18.07.2024,19.07.2024,11:15:24,ОФЗ26238,RU000A1038V6,RUB,Покупка,10,51.05,5105.00,85.60,3.06,0.51,10953509669,,И
18.07.2024,19.07.2024,11:30:50,ГазпромКP3,RU000A101QM3,RUB,Покупка,6,91.29,5477.40,48.72,3.29,0.54,10953875870,,И
18.07.2024,19.07.2024,11:30:50,ГазпромКP3,RU000A101QM3,RUB,Покупка,4,91.31,3652.40,32.48,2.19,0.37,10953875871,,И
18.07.2024,19.07.2024,11:52:29,SBMMETF,SBMM,RUB,Покупка,1060,13.355,14156.30,0.00,0.00,4.24,10954065204,,И
26.07.2024,29.07.2024,18:08:46,SBMMETF,SBMM,RUB,Покупка,400,13.4095,5363.80,0.00,0.00,1.61,10988118049,,И
29.07.2024,30.07.2024,15:44:15,SBMMETF,SBMM,RUB,Продажа,800,13.4145,10731.60,0.00,0.00,3.22,10993245101,,И
29.07.2024,30.07.2024,15:45:22,РусГидро,HYDR,RUB,Покупка,1000,0.5898,589.80,0.00,0.35,0.18,10993252673,,И
29.07.2024,30.07.2024,15:45:48,МТС-ао,MTSS,RUB,Покупка,10,225.7,2257.00,0.00,1.36,0.68,10993255919,,И
29.07.2024,30.07.2024,15:47:02,СевСт-ао,CHMF,RUB,Покупка,1,1422,1422.00,0.00,0.85,0.43,10993263297,,И
29.07.2024,30.07.2024,15:47:47,ИнтерРАОао,IRAO,RUB,Покупка,100,3.766,376.60,0.00,0.23,0.11,10993267407,,И
29.07.2024,30.07.2024,15:48:18,Роснефть,ROSN,RUB,Покупка,1,514.35,514.35,0.00,0.31,0.16,10993270038,,И
29.07.2024,30.07.2024,15:48:41,Новатэкао,NVTK,RUB,Покупка,1,1043.2,1043.20,0.00,0.62,0.31,10993272562,,И
29.07.2024,30.07.2024,15:49:04,Сургнфгз,SNGS,RUB,Покупка,100,27.73,2773.00,0.00,1.67,0.83,10993275228,,И
29.07.2024,30.07.2024,15:53:23,БПИФбрутто,SBMX,RUB,Покупка,50,17.973,898.65,0.00,0.00,0.27,10993331396,,И
14.08.2023,15.08.2023,19:06:28,СевСт-ао,CHMF,RUB,Покупка,1,1321.8,1321.80,0.00,0.79,0.40,8088131206,,И
14.08.2023,15.08.2023,19:07:03,Системаао,AFKS,RUB,Покупка,100,18.107,1810.70,0.00,1.09,0.54,8088134689,,И
14.08.2023,15.08.2023,19:07:50,ИнтерРАОао,IRAO,RUB,Покупка,400,4.1505,1660.20,0.00,1.00,0.50,8088139159,,И
01.08.2024,02.08.2024,15:12:15,SBMMETF,SBMM,RUB,Покупка,200,13.4335,2686.70,0.00,0.00,0.80,11008383879,,ЗО
01.08.2024,02.08.2024,15:12:15,SBMMETF,SBMM,RUB,Покупка,200,13.4335,2686.70,0.00,0.00,0.80,11008383879,,И
15.08.2024,16.08.2024,12:05:00,Роснефть,ROSN,RUB,Покупка,3,494.4,1483.20,0.00,0.89,0.00,11059502601,,И
15.08.2024,16.08.2024,12:08:43,Новатэкао,NVTK,RUB,Покупка,1,1030.8,1030.80,0.00,0.62,0.31,11059529482,,И
15.08.2024,16.08.2024,12:11:12,РусГидро,HYDR,RUB,Покупка,2000,0.5983,1196.60,0.00,0.72,0.36,11059546757,,И
22.08.2024,23.08.2024,13:23:06,SBMMETF,SBMM,RUB,Покупка,600,13.565,8139.00,0.00,0.00,2.44,11085744331,,И
30.08.2024,02.09.2024,18:08:56,SBMMETF,SBMM,RUB,Продажа,300,13.631,4089.30,0.00,0.00,1.23,11125098501,,О
30.08.2024,02.09.2024,18:10:05,ЯНДЕКС,YDEX,RUB,Покупка,1,3785,3785.00,0.00,2.27,1.13,11125104232,,О
30.08.2024,02.09.2024,18:11:53,Системаао,AFKS,RUB,Покупка,100,16.088,1608.80,0.00,0.97,0.49,11125114093,,О
30.08.2024,02.09.2024,18:12:48,Роснефть,ROSN,RUB,Покупка,1,478.25,478.25,0.00,0.28,0.14,11125120200,,О
30.08.2024,02.09.2024,18:12:48,Роснефть,ROSN,RUB,Покупка,2,478.25,956.50,0.00,0.58,0.28,11125120201,,О
30.08.2024,02.09.2024,18:13:10,Новатэкао,NVTK,RUB,Покупка,1,972.2,972.20,0.00,0.58,0.29,11125122351,,О
30.08.2024,02.09.2024,18:13:49,РусГидро,HYDR,RUB,Покупка,3000,0.5222,1566.60,0.00,0.94,0.47,11125126109,,О
30.08.2024,02.09.2024,18:13:49,РусГидро,HYDR,RUB,Покупка,1000,0.5222,522.20,0.00,0.31,0.16,11125126110,,О
15.09.2021,17.09.2021,15:01:02,VTBEETF,VTBE,RUB,Покупка,14,92.92,1300.88,0.00,0.00,0.12,4388701593,,И
15.09.2021,17.09.2021,15:09:39,FXDMETF,FXDM,RUB,Покупка,12,77.66,931.92,0.00,0.00,0.09,4388750615,,И
15.09.2021,17.09.2021,15:12:44,FXRWETF,FXRW,RUB,Покупка,335,1.3183,441.63,0.00,0.00,0.04,4388771103,,И
15.09.2021,17.09.2021,15:16:18,FXIMETF,FXIM,RUB,Покупка,3,96.2,288.60,0.00,0.00,0.03,4388784287,,И
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,О
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,О
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,О
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,О
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,О
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,О
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,О
30.09.2021,04.10.2021,10:59:34,SBSPETF,SBSP,RUB,Покупка,1,1696.2,1696.20,0.00,0.00,0.16,4453542268,,ЗО
14.09.2023,15.09.2023,20:01:07,МТС-ао,MTSS,RUB,Покупка,10,277.35,2773.50,0.00,1.66,0.83,8365637218,,И
14.09.2023,15.09.2023,20:01:44,СевСт-ао,CHMF,RUB,Покупка,1,1296.8,1296.80,0.00,0.78,0.39,8365637605,,И
14.09.2023,15.09.2023,20:02:46,ИнтерРАОао,IRAO,RUB,Покупка,200,4.272,854.40,0.00,0.51,0.26,8365638476,,И
30.08.2024,02.09.2024,18:08:56,SBMMETF,SBMM,RUB,Продажа,300,13.631,4089.30,0.00,0.00,1.23,11125098501,,И
30.08.2024,02.09.2024,18:10:05,ЯНДЕКС,YDEX,RUB,Покупка,1,3785,3785.00,0.00,2.27,1.13,11125104232,,И
30.08.2024,02.09.2024,18:11:53,Системаао,AFKS,RUB,Покупка,100,16.088,1608.80,0.00,0.97,0.49,11125114093,,И
30.08.2024,02.09.2024,18:12:48,Роснефть,ROSN,RUB,Покупка,1,478.25,478.25,0.00,0.28,0.14,11125120200,,И
30.08.2024,02.09.2024,18:12:48,Роснефть,ROSN,RUB,Покупка,2,478.25,956.50,0.00,0.58,0.28,11125120201,,И
30.08.2024,02.09.2024,18:13:10,Новатэкао,NVTK,RUB,Покупка,1,972.2,972.20,0.00,0.58,0.29,11125122351,,И
30.08.2024,02.09.2024,18:13:49,РусГидро,HYDR,RUB,Покупка,3000,0.5222,1566.60,0.00,0.94,0.47,11125126109,,И
30.08.2024,02.09.2024,18:13:49,РусГидро,HYDR,RUB,Покупка,1000,0.5222,522.20,0.00,0.31,0.16,11125126110,,И
16.09.2024,17.09.2024,12:22:04,SBMMETF,SBMM,RUB,Продажа,400,13.73,5492.00,0.00,0.00,1.65,11185452102,,И
16.09.2024,17.09.2024,12:25:47,Магнитао,MGNT,RUB,Покупка,1,5109.5,5109.50,0.00,3.07,1.53,11185478972,,И
16.09.2024,17.09.2024,12:30:54,СевСт-ао,CHMF,RUB,Покупка,1,1261.2,1261.20,0.00,0.75,0.38,11185515364,,И
16.09.2024,17.09.2024,12:34:18,Системаао,AFKS,RUB,Покупка,100,16.573,1657.30,0.00,1.00,0.50,11185543071,,И
16.09.2024,17.09.2024,12:36:32,Роснефть,ROSN,RUB,Покупка,2,504,1008.00,0.00,0.60,0.30,11185561147,,И
16.09.2024,17.09.2024,12:39:48,Новатэкао,NVTK,RUB,Покупка,1,980.2,980.20,0.00,0.59,0.29,11185585131,,И
16.09.2024,17.09.2024,12:42:36,РусГидро,HYDR,RUB,Покупка,1000,0.5182,518.20,0.00,0.31,0.16,11185606996,,И
27.09.2024,30.09.2024,12:18:55,SBMMETF,SBMM,RUB,Продажа,15,13.8175,207.26,0.00,0.00,0.07,11236665486,,И
27.09.2024,30.09.2024,12:18:55,SBMMETF,SBMM,RUB,Продажа,685,13.8175,9464.99,0.00,0.00,2.84,11236665487,,И
